ID,GENDER,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,PAST_ACCIDENTS,AGE,DRIVING_EXPERIENCE,OUTCOME
46,female,university,working class,0.434799641,1,before 2015,1,0,10238,11000,sedan,2,0,30,15,0
47,female,university,upper class,0.687578338,1,after 2015,0,1,10238,10000,sedan,0,0,66,11,0
48,male,university,upper class,0.754969479,1,before 2015,1,1,10238,13000,sedan,5,0,52,24,0
49,female,university,upper class,0.611487599,1,after 2015,0,1,32765,9000,sedan,0,0,20,4,1
50,female,high school,poverty,0.44251478,0,before 2015,0,1,10238,13000,sedan,0,0,22,3,0
51,female,high school,working class,0.430181857,1,before 2015,1,1,10238,13000,sedan,0,0,32,10,0
52,male,high school,poverty,0.298873747,1,before 2015,0,1,10238,11000,sedan,0,0,22,0,0
53,male,university,upper class,0.62066023,1,after 2015,1,1,10238,9000,sedan,1,2,38,15,0
54,male,high school,middle class,0.600455164,1,before 2015,1,0,32765,12000,sedan,0,0,40,1,1
55,female,university,working class,0.288166467,1,before 2015,1,1,32765,9000,sedan,3,2,34,14,0
56,female,university,middle class,0.668043683,0,before 2015,0,1,10238,10000,sedan,0,1,38,16,0
57,male,high school,upper class,0.551412827,1,after 2015,1,1,10238,9000,sedan,0,0,77,8,0
58,male,high school,upper class,0.679298476,1,after 2015,1,1,32765,7000,sports car,0,0,41,7,0
59,female,high school,working class,0.345672446,0,before 2015,0,1,10238,16000,sedan,0,0,28,11,1
60,male,high school,upper class,0.625625721,1,after 2015,1,1,10238,7000,sedan,7,5,77,25,0
61,male,high school,middle class,0.521804435,1,after 2015,1,1,92101,7000,sedan,2,1,58,25,0
62,male,high school,working class,0.437005917,1,after 2015,1,1,32765,7000,sedan,4,2,26,13,0
63,female,high school,working class,0.544429816,1,after 2015,1,0,32765,14000,sedan,0,0,38,6,0
64,female,university,middle class,0.641720248,0,before 2015,1,1,10238,10000,sedan,0,0,49,19,0
65,male,high school,middle class,0.561740502,1,after 2015,1,0,32765,14000,sedan,6,2,74,32,0
66,female,university,upper class,0.528570445,1,after 2015,1,1,92101,13000,sedan,2,2,69,33,0
67,male,none,poverty,0.260456031,0,before 2015,0,0,32765,16000,sedan,0,0,26,7,1
68,male,high school,working class,0.455855724,0,before 2015,0,0,10238,13000,sedan,0,3,60,25,0
69,male,high school,upper class,0.70807415,1,after 2015,1,1,10238,10000,sedan,1,4,42,29,0
70,male,high school,middle class,0.619701518,0,before 2015,1,1,10238,13000,sedan,4,1,60,26,0
71,male,university,middle class,0.532612984,1,before 2015,0,1,10238,11000,sedan,1,3,45,15,0
72,female,university,upper class,0.601929654,1,after 2015,1,1,32765,6000,sedan,6,1,74,35,0
73,male,university,upper class,0.606306137,1,after 2015,1,1,10238,10000,sedan,0,0,79,9,0
74,female,high school,upper class,0.6514306,1,before 2015,1,1,10238,11000,sedan,0,0,68,2,1
75,male,high school,poverty,0.326061548,0,before 2015,0,1,10238,10000,sedan,0,0,22,5,1
76,female,none,middle class,0.491795039,1,after 2015,1,1,32765,8000,sedan,5,0,48,26,0
77,female,university,middle class,0.499989904,1,before 2015,1,1,10238,16000,sedan,0,1,29,11,0
78,female,university,upper class,0.627663826,1,after 2015,1,1,10238,10000,sedan,2,4,63,23,0
79,female,none,working class,0.521871913,1,before 2015,0,1,10238,14000,sedan,0,0,27,3,1
80,female,none,poverty,0.360307698,0,before 2015,0,1,10238,16000,sedan,0,0,25,8,1
81,female,high school,working class,0.670584025,1,before 2015,1,0,32765,12000,sedan,0,0,17,1,1
82,female,high school,poverty,0.617332927,1,before 2015,0,1,10238,13000,sedan,0,0,34,14,0
83,female,none,middle class,0.399198419,0,before 2015,1,0,10238,13000,sedan,0,0,57,4,1
84,male,university,upper class,0.674187367,1,before 2015,1,1,92101,7000,sedan,1,1,47,20,0
85,female,university,middle class,0.448756457,1,before 2015,0,0,32765,10000,sedan,1,1,37,10,0
86,female,high school,upper class,0.664886753,1,after 2015,0,1,32765,13000,sedan,3,0,80,31,0
87,male,high school,poverty,0.115402476,0,before 2015,0,0,32765,16000,sedan,2,0,48,23,1
88,male,high school,upper class,0.692491318,1,after 2015,0,1,10238,13000,sedan,4,6,67,31,0
89,female,high school,upper class,0.629338094,1,before 2015,1,0,10238,11000,sedan,2,2,74,33,0
90,male,university,upper class,0.40990158,1,before 2015,1,1,92101,10000,sedan,6,0,69,39,0
91,female,none,poverty,0.398223638,1,before 2015,0,1,10238,9000,sedan,1,6,37,18,0
92,male,university,upper class,0.715403423,1,after 2015,1,1,32765,10000,sedan,0,0,20,9,0
93,male,university,upper class,0.497331736,0,before 2015,1,1,10238,11000,sedan,3,10,79,38,0
94,female,high school,working class,0.507647245,1,after 2015,0,1,10238,14000,sedan,3,0,32,13,0
95,female,high school,poverty,0.492161373,1,before 2015,0,1,10238,15000,sedan,0,0,20,0,0
96,male,university,upper class,0.686122633,1,after 2015,1,1,10238,10000,sedan,6,7,69,33,0
97,female,high school,middle class,0.437313012,1,after 2015,1,0,10238,12000,sedan,1,6,76,40,0
98,female,high school,working class,0.508515717,0,after 2015,0,1,10238,9000,sedan,0,1,34,12,0
99,male,university,upper class,0.542913936,1,before 2015,1,1,32765,7000,sedan,11,2,70,37,0
100,male,high school,middle class,0.523714782,1,before 2015,1,0,10238,15000,sedan,0,0,16,3,1
101,female,high school,upper class,0.495295889,1,before 2015,0,0,32765,13000,sedan,3,0,58,25,0
102,female,high school,upper class,0.62780369,0,before 2015,1,1,10238,9000,sedan,1,0,69,38,0
103,male,none,upper class,0.678294075,1,after 2015,1,1,10238,8000,sports car,1,0,54,10,0
104,male,none,working class,0.439565827,1,before 2015,0,0,10238,15000,sedan,2,5,40,28,0
105,female,high school,poverty,0.326539889,0,before 2015,0,0,32765,16000,sedan,0,0,33,0,1
106,male,university,middle class,0.340346171,1,after 2015,0,0,10238,12000,sedan,0,0,17,5,0
107,male,high school,poverty,0.30069153,0,before 2015,0,0,10238,12000,sedan,0,0,16,8,1
108,female,high school,poverty,0.433948417,0,before 2015,1,1,10238,12000,sedan,0,0,20,6,1
109,male,university,upper class,0.562346446,1,after 2015,1,1,10238,8000,sedan,1,3,34,18,0
110,male,high school,upper class,0.565003111,1,after 2015,1,0,32765,10000,sedan,6,1,44,20,0
111,female,none,poverty,0.438224062,0,before 2015,0,0,10238,17000,sedan,0,0,24,1,1
112,female,university,upper class,0.477492954,0,before 2015,0,1,32765,13000,sedan,0,0,73,1,1
113,female,university,upper class,0.741801583,1,before 2015,1,1,10238,10000,sedan,2,0,75,30,0
114,female,high school,upper class,0.720376608,1,after 2015,0,0,10238,17000,sedan,1,0,34,10,0
115,female,university,upper class,0.624732579,1,after 2015,1,1,10238,11000,sports car,1,1,80,33,0
116,male,high school,upper class,0.526414377,1,before 2015,1,1,10238,12000,sedan,2,3,46,24,0
117,female,high school,upper class,0.498259574,1,before 2015,1,0,10238,11000,sedan,1,5,74,30,0
118,female,high school,poverty,0.360042879,0,before 2015,0,1,10238,17000,sedan,0,0,17,9,1
119,female,university,upper class,0.681523027,1,before 2015,1,1,10238,9000,sedan,1,0,79,17,0
120,male,high school,working class,0.412210836,1,after 2015,0,1,10238,12000,sedan,0,1,27,17,0
121,female,high school,upper class,0.623114484,0,before 2015,1,1,10238,10000,sedan,1,0,41,20,0
122,male,university,middle class,0.564614206,1,before 2015,0,1,10238,11000,sedan,2,1,32,14,1
123,female,university,upper class,0.591212592,1,after 2015,1,1,10238,13000,sedan,1,1,77,10,0
124,female,high school,poverty,0.41263478,0,before 2015,1,1,10238,9000,sports car,0,0,41,5,0
125,male,high school,upper class,0.701913544,1,before 2015,0,1,21217,7000,sedan,5,2,64,23,1
126,male,university,upper class,0.698005396,1,before 2015,1,1,21217,12000,sedan,2,0,28,14,1
127,female,high school,working class,0.276344597,0,before 2015,0,1,10238,15000,sports car,0,0,16,7,1
128,male,high school,upper class,0.689858517,1,before 2015,1,1,10238,8000,sedan,0,0,66,9,0
129,female,university,middle class,0.504817976,1,before 2015,1,1,10238,7000,sedan,1,4,58,25,0
130,male,university,middle class,0.532272939,1,before 2015,1,0,10238,9000,sedan,2,1,28,19,0
131,male,university,upper class,0.531462023,1,before 2015,1,1,10238,12000,sedan,8,4,64,24,0
132,female,high school,poverty,0.410993887,0,before 2015,1,1,10238,9000,sedan,0,0,18,7,1
133,female,high school,middle class,0.516383319,1,before 2015,1,0,32765,6000,sedan,0,0,24,9,0
134,female,university,upper class,0.566925129,0,before 2015,1,1,10238,10000,sedan,0,0,65,2,0
135,male,high school,working class,0.195816512,0,before 2015,0,1,32765,11000,sedan,0,2,47,17,1
136,male,high school,middle class,0.466890959,1,before 2015,1,1,32765,10000,sedan,2,1,27,12,0
137,male,high school,middle class,0.468539378,1,after 2015,0,0,10238,18000,sedan,3,3,58,24,0
138,male,high school,poverty,0.446111965,1,before 2015,0,0,32765,14000,sedan,0,0,30,5,1
139,male,high school,working class,0.292421681,0,before 2015,0,0,10238,12000,sedan,0,0,22,0,1
140,female,none,poverty,0.300332343,1,before 2015,1,0,10238,14000,sedan,0,0,24,5,1
141,male,high school,middle class,0.469297656,0,before 2015,1,1,32765,8000,sedan,2,0,55,13,0
142,female,none,working class,0.380538115,0,before 2015,1,1,10238,10000,sedan,0,0,29,3,1
143,female,high school,poverty,0.169406553,0,before 2015,0,0,10238,14000,sedan,0,0,25,8,1
144,female,high school,middle class,0.549259879,1,before 2015,1,1,10238,13000,sedan,1,1,44,15,0
145,female,none,poverty,0.228457522,1,before 2015,0,0,10238,14000,sedan,0,0,19,7,0
146,female,university,upper class,0.6502647,1,before 2015,1,1,10238,12000,sedan,3,0,49,24,0
147,female,university,upper class,0.612468484,1,after 2015,1,1,32765,4000,sedan,0,0,21,6,0
148,female,high school,poverty,0.242400361,1,before 2015,1,0,10238,11000,sedan,0,0,24,2,1
149,female,university,upper class,0.590976136,1,after 2015,0,0,10238,14000,sedan,0,0,36,13,0
150,male,university,upper class,0.645261993,1,after 2015,1,1,10238,7000,sedan,0,0,26,8,0
151,female,none,poverty,0.414553161,1,after 2015,1,1,10238,11000,sports car,0,0,35,18,0
152,male,high school,working class,0.435639067,1,before 2015,0,1,92101,13000,sedan,0,0,34,1,1
153,male,none,poverty,0.364821205,0,before 2015,1,0,32765,11000,sedan,0,0,19,4,1
154,male,university,upper class,0.457278601,1,after 2015,1,1,10238,9000,sedan,5,2,62,28,0
155,male,university,middle class,0.304644661,1,before 2015,0,1,10238,14000,sedan,0,2,27,10,0
156,female,none,upper class,0.665476908,1,before 2015,0,0,10238,16000,sedan,3,0,63,28,0
157,male,high school,middle class,0.615030453,1,before 2015,0,1,10238,9000,sedan,2,3,30,19,0
158,male,high school,poverty,0.356311431,1,before 2015,0,0,10238,13000,sedan,0,0,19,9,1
159,male,high school,poverty,0.26787678,0,before 2015,0,0,10238,14000,sedan,0,0,22,8,1
160,male,none,poverty,0.498723686,0,after 2015,0,1,92101,13000,sedan,6,2,70,39,0
161,male,none,working class,0.261476899,0,before 2015,1,1,10238,10000,sedan,0,4,58,23,0
162,male,university,upper class,0.457874238,1,before 2015,1,1,10238,7000,sedan,7,8,69,39,0
163,male,university,upper class,0.697036493,1,after 2015,1,1,10238,11000,sedan,5,5,79,37,0
164,male,none,middle class,0.385141018,1,after 2015,1,0,10238,13000,sedan,0,0,42,0,0
165,male,university,upper class,0.486778133,1,after 2015,1,1,10238,13000,sedan,4,5,74,35,0
166,male,university,upper class,0.527890798,1,after 2015,0,1,10238,12000,sedan,4,9,70,33,0
167,female,high school,upper class,0.698085096,1,after 2015,0,1,10238,13000,sedan,0,0,57,17,0
168,male,none,poverty,0.337792703,0,before 2015,0,0,32765,9000,sports car,3,0,34,10,0
169,female,high school,poverty,0.318731245,1,before 2015,1,0,10238,10000,sedan,0,0,16,1,0
170,male,university,upper class,0.428475969,1,after 2015,1,1,32765,8000,sedan,0,0,32,6,0
171,female,high school,working class,0.457725702,0,after 2015,1,0,10238,13000,sedan,0,0,24,9,0
172,male,high school,working class,0.281077754,0,before 2015,0,0,32765,12000,sedan,2,0,32,17,1
173,male,university,upper class,0.67520042,0,before 2015,1,1,92101,12000,sedan,5,2,62,23,0
174,male,high school,poverty,0.279579234,1,before 2015,0,1,32765,7000,sedan,0,0,23,6,1
175,female,none,poverty,0.30417503,1,after 2015,0,0,92101,14000,sedan,0,0,19,3,1
176,female,university,upper class,0.679074316,1,after 2015,0,1,10238,13000,sedan,1,3,44,29,0
177,male,high school,middle class,0.493597504,1,before 2015,1,0,10238,13000,sedan,0,1,33,16,0
178,male,university,upper class,0.587330093,1,after 2015,1,1,10238,13000,sedan,1,1,58,23,0
179,female,none,poverty,0.305421423,0,before 2015,1,0,10238,8000,sedan,0,0,22,2,1
180,female,high school,poverty,0.332932446,0,before 2015,0,1,10238,12000,sedan,0,1,26,13,0
181,male,high school,middle class,0.502284965,0,before 2015,0,0,10238,14000,sports car,3,4,44,22,0
182,female,high school,upper class,0.501216103,1,before 2015,1,1,10238,8000,sedan,1,1,61,29,0
183,male,university,upper class,0.611448465,1,before 2015,0,1,10238,11000,sedan,2,0,51,29,0
184,female,high school,working class,0.59933375,1,before 2015,0,1,32765,6000,sedan,0,0,22,8,1
185,female,none,working class,0.579523594,1,before 2015,1,1,32765,9000,sedan,0,0,24,1,0
186,male,high school,upper class,0.669561971,1,after 2015,1,1,10238,7000,sedan,4,5,45,25,0
187,female,high school,middle class,0.626944308,1,before 2015,0,1,32765,13000,sedan,1,0,59,23,0
188,male,university,poverty,0.285239665,1,before 2015,0,0,10238,17000,sedan,0,0,25,4,0
189,female,university,upper class,0.680943099,1,after 2015,1,1,10238,9000,sedan,1,2,65,14,0
190,male,university,upper class,0.721640291,1,after 2015,1,1,10238,11000,sedan,2,5,52,27,0
191,male,university,working class,0.390847395,1,before 2015,1,0,10238,15000,sedan,0,2,35,16,1
192,female,high school,working class,0.438797741,0,before 2015,0,1,32765,9000,sedan,3,0,34,13,1
193,male,none,working class,0.508382297,0,before 2015,0,1,10238,15000,sedan,0,0,40,7,1
194,male,high school,working class,0.29761163,0,before 2015,0,0,10238,12000,sedan,2,4,38,12,0
195,male,university,upper class,0.680928917,1,before 2015,1,0,10238,12000,sedan,1,1,27,15,0
196,female,university,upper class,0.65955667,1,before 2015,1,1,10238,10000,sedan,0,0,73,8,0
197,male,university,upper class,0.613834436,1,after 2015,0,0,10238,15000,sedan,2,0,64,12,0
198,male,university,middle class,0.541790522,1,before 2015,1,1,10238,9000,sedan,1,1,27,19,0
199,female,university,upper class,0.640208825,1,after 2015,1,1,10238,11000,sedan,1,0,68,21,0
200,male,high school,poverty,0.327760276,0,before 2015,0,0,10238,16000,sedan,0,0,23,6,1
201,female,high school,middle class,0.626940866,1,before 2015,0,0,10238,17000,sedan,0,1,26,16,1
202,male,none,poverty,0.557410104,0,before 2015,0,0,10238,16000,sedan,0,0,19,9,1
203,male,high school,middle class,0.507474671,1,after 2015,0,1,32765,6000,sedan,6,2,51,26,0
204,male,high school,upper class,0.632199385,1,before 2015,1,0,10238,10000,sedan,2,2,53,23,0
205,male,high school,poverty,0.297150711,1,before 2015,0,1,10238,13000,sports car,0,0,18,7,1
206,female,high school,middle class,0.57165395,1,after 2015,1,1,10238,10000,sedan,0,0,56,4,0
207,female,high school,upper class,0.648052469,1,after 2015,0,1,92101,15000,sedan,1,0,61,22,0
208,female,university,upper class,0.484014927,1,after 2015,1,1,10238,10000,sedan,0,0,64,9,0
209,male,high school,middle class,0.513847778,0,after 2015,0,1,32765,8000,sedan,6,4,35,10,0
210,female,none,upper class,0.685409045,1,after 2015,1,1,10238,11000,sedan,1,0,72,15,0
211,female,high school,working class,0.300628886,1,before 2015,0,1,10238,12000,sedan,0,0,32,9,0
212,female,university,upper class,0.550144013,1,before 2015,1,1,10238,7000,sedan,2,0,70,16,0
213,male,high school,upper class,0.677890459,1,before 2015,1,1,32765,10000,sedan,8,4,77,33,0
214,female,university,upper class,0.601312251,1,before 2015,1,1,32765,8000,sedan,2,0,77,19,0
215,female,high school,middle class,0.487377519,0,before 2015,1,1,92101,9000,sedan,3,2,53,29,0
216,female,university,upper class,0.67185685,1,before 2015,1,0,10238,12000,sedan,1,2,29,10,0
217,male,university,upper class,0.744211521,1,before 2015,1,1,32765,5000,sedan,9,1,46,20,0
218,male,university,upper class,0.612666155,1,before 2015,1,1,32765,6000,sedan,0,0,33,2,0
219,female,high school,middle class,0.458099459,1,before 2015,1,1,10238,8000,sedan,1,1,72,15,0
220,male,high school,upper class,0.684690671,1,after 2015,1,0,10238,11000,sedan,2,6,46,26,0
221,male,high school,poverty,0.294913991,0,before 2015,0,0,10238,15000,sedan,0,0,23,2,1
222,female,university,upper class,0.764539147,1,before 2015,0,1,32765,7000,sedan,5,1,35,19,0
223,female,none,poverty,0.292564974,0,before 2015,0,0,32765,13000,sedan,0,0,23,6,0
224,female,none,working class,0.375248234,1,before 2015,1,1,10238,13000,sedan,0,0,33,8,0
225,male,university,working class,0.448069858,0,before 2015,0,0,10238,14000,sedan,0,0,17,7,1
226,female,high school,poverty,0.372234575,0,before 2015,0,0,10238,15000,sedan,0,0,16,7,1
227,female,high school,poverty,0.244133263,0,before 2015,1,1,10238,11000,sedan,0,0,22,0,1
228,male,university,upper class,0.515709385,1,after 2015,1,1,10238,11000,sports car,2,4,65,35,0
229,female,university,upper class,0.618300294,1,after 2015,1,1,92101,13000,sedan,0,0,31,6,0
230,male,high school,middle class,0.477962613,1,before 2015,1,1,10238,10000,sedan,7,5,68,31,0
231,female,high school,poverty,0.412393402,1,before 2015,0,0,10238,14000,sedan,0,0,16,5,1
232,male,university,middle class,0.571724625,1,before 2015,0,1,32765,15000,sedan,2,1,40,23,0
233,female,none,poverty,0.373351589,1,before 2015,0,0,10238,12000,sedan,0,0,18,1,1
234,female,high school,working class,0.469090521,1,before 2015,1,1,32765,3000,sedan,4,2,60,28,0
235,male,high school,poverty,0.299202918,1,before 2015,1,0,10238,14000,sedan,0,0,22,8,0
236,male,high school,upper class,0.701891245,1,before 2015,1,1,10238,8000,sedan,3,7,66,31,0
237,female,none,working class,0.491038013,1,before 2015,0,1,10238,16000,sedan,0,0,39,17,1
238,male,university,upper class,0.645129578,1,before 2015,0,1,10238,14000,sedan,0,0,32,15,1
239,male,none,poverty,0.31745317,0,before 2015,0,0,32765,15000,sedan,0,0,21,9,1
240,female,high school,poverty,0.38361408,0,after 2015,0,0,10238,15000,sedan,1,0,29,13,0
241,female,high school,upper class,0.67623617,0,before 2015,1,1,32765,9000,sedan,0,0,63,4,1
242,female,none,poverty,0.389885723,0,before 2015,0,0,32765,11000,sedan,0,0,16,5,1
243,female,high school,working class,0.450363459,0,before 2015,0,0,32765,7000,sedan,2,0,56,28,0
244,female,university,upper class,0.522397513,1,before 2015,1,1,10238,8000,sedan,3,0,31,17,0
245,male,university,poverty,0.317171056,0,before 2015,0,0,10238,13000,sedan,0,0,25,5,1
246,male,university,upper class,0.758055177,1,before 2015,0,1,92101,13000,sedan,2,1,29,12,1
247,female,high school,upper class,0.506304851,1,after 2015,0,1,10238,14000,sedan,0,2,42,15,0
248,male,high school,upper class,0.623859584,1,before 2015,1,0,32765,9000,sedan,5,1,34,13,0
249,female,university,upper class,0.563812463,1,before 2015,1,1,92101,13000,sedan,0,1,57,25,0
250,female,high school,poverty,0.358633274,1,before 2015,0,0,10238,15000,sedan,0,0,21,4,0
251,male,none,poverty,0.208433852,1,before 2015,0,1,10238,17000,sedan,0,0,27,3,1
252,male,university,middle class,0.459588364,0,before 2015,1,1,32765,8000,sedan,7,1,61,20,0
253,male,none,working class,0.575609703,0,before 2015,0,1,10238,12000,sedan,3,4,39,19,1
254,female,university,upper class,0.704615522,0,after 2015,0,0,10238,14000,sedan,3,1,40,22,0
255,female,university,upper class,0.589319755,1,before 2015,1,1,32765,9000,sedan,0,0,76,3,0
256,female,high school,working class,0.254423262,1,before 2015,0,0,10238,11000,sports car,0,0,33,19,0
257,male,university,upper class,0.694698694,1,after 2015,1,1,32765,7000,sedan,4,1,44,15,0
258,male,high school,middle class,0.468193641,1,before 2015,1,0,10238,10000,sports car,2,1,39,11,0
259,male,university,upper class,0.472408921,1,before 2015,0,1,32765,11000,sedan,2,1,37,18,0
260,male,high school,upper class,0.586645344,1,after 2015,0,1,32765,7000,sedan,0,0,73,8,0
261,female,high school,middle class,0.661584142,1,before 2015,0,1,32765,12000,sedan,5,0,60,29,0
262,male,none,poverty,0.408705611,0,before 2015,0,1,10238,16000,sedan,1,3,42,23,0
263,male,high school,working class,0.252170769,1,before 2015,1,1,10238,11000,sedan,0,0,27,5,0
264,male,university,upper class,0.514562538,1,after 2015,1,0,32765,9000,sedan,0,0,21,8,0
265,male,university,upper class,0.557840327,1,after 2015,1,1,10238,10000,sedan,2,0,35,19,0
266,male,high school,working class,0.268187245,1,before 2015,0,1,10238,9000,sedan,1,4,33,12,0
267,male,university,upper class,0.564365971,1,after 2015,1,1,32765,8000,sedan,9,1,79,32,0
268,male,high school,middle class,0.364895289,1,before 2015,1,1,32765,9000,sedan,5,1,34,10,1
269,male,high school,poverty,0.203690934,1,before 2015,0,0,10238,14000,sedan,0,0,17,9,1
270,female,university,upper class,0.499361265,1,before 2015,1,1,10238,7000,sedan,2,1,76,24,0
271,male,university,upper class,0.562059268,1,after 2015,1,1,32765,8000,sedan,1,0,36,12,0
272,male,high school,upper class,0.727055231,1,after 2015,1,1,10238,13000,sedan,1,1,55,16,0
273,female,high school,upper class,0.449297267,1,after 2015,1,1,32765,3000,sedan,8,2,74,28,0
274,male,none,working class,0.292203144,1,before 2015,1,0,10238,12000,sedan,0,0,42,1,0
275,female,high school,middle class,0.552577033,1,before 2015,1,1,10238,10000,sedan,0,0,29,12,0
276,male,none,poverty,0.227648088,1,before 2015,0,1,32765,12000,sedan,3,0,30,14,1
277,female,university,upper class,0.530690779,0,after 2015,0,0,10238,17000,sedan,0,3,33,16,1
278,female,none,poverty,0.345466205,0,before 2015,0,1,32765,6000,sedan,0,0,20,7,1
279,female,university,upper class,0.592809596,1,after 2015,0,1,32765,10000,sports car,4,0,49,20,0
280,male,high school,middle class,0.640543347,1,before 2015,1,1,10238,11000,sedan,1,1,38,15,0
281,female,high school,upper class,0.703991085,0,before 2015,1,0,92101,13000,sedan,0,0,60,26,1
282,male,university,middle class,0.536366006,1,before 2015,0,0,10238,13000,sedan,0,0,29,4,1
283,female,university,upper class,0.606497557,1,after 2015,1,1,10238,9000,sedan,0,1,79,40,0
284,female,high school,middle class,0.659467954,1,before 2015,0,1,10238,12000,sedan,0,1,51,20,0
285,male,university,upper class,0.549609032,1,before 2015,1,1,10238,9000,sedan,2,3,63,19,0
286,male,university,upper class,0.713373976,0,before 2015,0,0,10238,10000,sedan,4,1,60,14,0
287,male,university,upper class,0.659756271,1,before 2015,1,1,32765,3000,sedan,14,3,73,35,0
288,male,high school,poverty,0.331144408,0,before 2015,0,0,92101,15000,sedan,0,0,18,3,1
289,female,high school,upper class,0.730677463,1,after 2015,1,1,10238,13000,sedan,0,0,70,7,0
